customer_id,log_transaction_amount,log_transaction_amount_bin_10
C0071,5.7158757223435845,7
C0020,5.539065051810604,6
C0001,6.04685194918754,8
C0052,6.4185932948521724,8
C0008,5.045036720813588,5
C0056,4.198704577546343,3
C0053,5.301711599616052,6
C0063,4.786491242448462,5
C0048,5.757860222186865,7
C0003,6.9014051595833354,9
C0048,6.692852677569506,9
C0051,6.225409552116048,8
C0009,6.017327206633709,8
C0050,6.3007490967421775,8
C0085,6.787788610934949,9
C0083,5.60558145372754,7
C0100,6.640124169001876,9
C0023,6.699426445805941,9
C0050,6.643086360839357,9
C0010,6.594276651486346,9
C0011,6.8139279991379835,9
C0058,5.819637727406669,7
C0064,6.4442107447971395,8
C0017,6.424447541252886,8
C0024,5.178068793951861,6
C0092,6.657715751954867,9
C0059,5.993512448725283,7
C0039,6.662698374356036,9
C0026,4.325191697921343,4
C0038,6.625763651858722,9
C0026,6.9014454135860985,9
C0037,5.992963423231718,7
C0049,6.806110075219936,9
C0050,4.985864345104336,5
C0087,6.000449065179446,7
C0062,6.5996391799435905,9
C0089,4.457481913088487,4
C0012,6.176802383686293,8
C0071,6.11489825427318,8
C0025,4.777357228301448,5
C0074,4.5503971601407995,4
C0055,5.563830514228756,6
C0048,4.881361491724374,5
C0041,6.438966911007204,8
C0075,5.368402974114725,6
C0074,6.379105070303594,8
C0063,6.291717276733615,8
C0006,6.368392997073958,8
C0024,6.510451774194603,9
C0008,6.726772825189412,9
C0064,5.759343316761421,7
C0048,6.849458570471734,9
C0099,6.837568838331965,9
C0063,5.046774340712129,5
C0037,6.380901894138949,8
C0082,6.144185634125646,8
C0077,3.6176519448255684,2
C0024,5.999879045709,7
C0056,4.0547371076273215,3
C0092,6.902451237390231,9
C0054,6.129551173881832,8
C0067,4.7295094602436984,5
C0008,6.08224174116605,8
C0091,6.075116119603592,8
C0069,6.309445439183026,8
C0077,6.652953347855154,9
C0056,6.3453205214829165,8
C0024,6.599543915277863,9
C0075,6.550608795314591,9
C0026,6.873029249587056,9
C0074,6.7828041135593065,9
C0032,5.546660718883989,6
C0042,6.445465818876212,8
C0034,5.917252723408029,7
C0081,5.26615567973964,6
C0079,6.031117858984634,8
C0069,6.722449273147222,9
C0030,5.64470457271829,7
C0041,6.291383937224241,8
C0090,6.573680166960646,9
C0004,4.975215348864995,5
C0080,6.297072486843082,8
C0014,6.858260366535966,9
C0078,5.8385464406832694,7
C0055,5.7723130170633095,7
C0049,6.538949915236575,9
C0062,6.609995934287137,9
C0046,5.435554384853122,6
C0032,6.157508506381619,8
C0001,5.843486444336483,7
C0066,3.40552135314221,2
C0067,4.885525483053412,5
C0001,2.5641798306825083,0
C0056,6.160447539462756,8
C0021,6.385582182147506,8
C0059,6.550637379810362,9
