sample_id,feat_2,feat_5,feat_7,feat_9,feat_10
1,-2.415108663888087,-4.655948248067105,-8.330729101358255,-3.9026440741463886,-6.8097947377857775
2,-3.335114823669577,1.6241733408845098,-3.040387858623676,-2.847524198715015,-10.212828222036638
3,0.958169463427899,-0.8671695199554574,-3.421605758268364,0.8467678495958104,-1.1507205212330402
4,-2.24769973468726,1.823496022030656,-3.104309329135425,1.10212331767829,-1.293446369060285
5,-4.14336864107884,0.1209014697991401,-2.671351126240574,-3.5375611883555664,-0.9372765410093292
6,-1.976202458614363,-1.121006191276254,0.4108268885350208,-2.4713065972950248,-4.589918679873152
7,-5.195067580713175,0.5091610031105226,-7.423693319898389,-5.615415558641418,-0.8286873019711136
8,1.384825035056673,0.1911087278532994,-2.746870319473077,-4.333809688531969,3.0612999460753567
9,-3.73046823008855,3.662387461089428,1.4621419802670097,-3.22681474252422,1.468213687406161
10,-0.4880041380862152,2.057314780568921,-3.309624383101207,-3.0189987896965023,-1.770203555300381
11,-2.509831770143828,-2.274090732365167,-2.4627331443707283,-2.321034709110789,-2.4901458156260103
12,-7.014293385899237,3.6420520371002048,-6.397751693779874,-4.5246472220171725,3.836813876561587
13,-7.267772010121549,2.669822769490418,-2.5345984438343105,-0.9711200735053808,3.2680755621476
14,-7.221413881126159,2.722447142021881,-1.461900989912039,-4.296067723037593,-3.0736393085145104
15,1.579049705595199,-0.1929123823631575,-9.517681221609385,-2.660375345723319,-1.8321614008382832
16,-7.084743668090484,1.8265721886773985,-5.356343083632068,-2.744915771967698,-3.9051962616624087
17,-1.9171531008703344,-1.1163538973732354,-1.445905045705799,-2.7740776954617443,2.980686231116813
18,-0.5230499178998627,-2.3675460769528045,-9.43326885822622,2.042756078477609,-4.604941239247752
19,-3.5263713156290644,1.3534454429249902,-4.966414999474771,-0.1119838377605129,-2.0356267663155827
20,-2.8038935745390097,1.3120961041804815,-2.621102155580308,-5.025257437410696,1.049077957979725
21,0.7297185873903933,-1.1824196159381937,-1.302267066000213,-4.472372812377315,2.3160827639108383
22,-0.8336963418318093,1.38555564709063,-6.345530754910126,-3.600445009019767,7.249812049053234
23,-2.2158345410274243,1.0425246894563789,-8.12646087292281,-2.479131982646381,0.2724537000268729
