sample_id,feat_1,feat_2,feat_3,feat_4,feat_5,feat_7,feat_9,feat_10
1,-3.204445100366127,-2.415108663888087,4.733524615689849,0.040581414003015,-4.655948248067105,-8.330729101358255,-3.9026440741463886,-6.8097947377857775
2,2.9458728265064584,-3.335114823669577,10.19366686934183,19.027262640021466,1.6241733408845098,-3.040387858623676,-2.847524198715015,-10.212828222036638
3,-6.004144500128735,0.958169463427899,4.674113456725894,0.0024685002471872,-0.8671695199554574,-3.421605758268364,0.8467678495958104,-1.1507205212330402
4,-6.504897411493454,-2.24769973468726,-4.531107124435807,0.0014960942329205,1.823496022030656,-3.104309329135425,1.10212331767829,-1.293446369060285
5,-1.178135231633048,-4.14336864107884,6.736950533413294,0.307852276864517,0.1209014697991401,-2.671351126240574,-3.5375611883555664,-0.9372765410093292
6,-7.718701637748705,-1.976202458614363,8.800559123229913,0.0004444372700355,-1.121006191276254,0.4108268885350208,-2.4713065972950248,-4.589918679873152
7,-2.077359273906814,-5.195067580713175,2.742519928642525,0.1252605546497593,0.5091610031105226,-7.423693319898389,-5.615415558641418,-0.8286873019711136
8,-6.601181534356151,1.384825035056673,3.915590989494919,0.0013587616651534,0.1911087278532994,-2.746870319473077,-4.333809688531969,3.0612999460753567
9,-5.11971700146908,-3.73046823008855,-0.2920551751952738,0.0059777143400329,3.662387461089428,1.4621419802670097,-3.22681474252422,1.468213687406161
10,-5.100800729537658,-0.4880041380862152,1.5214108386920706,0.0060918666744542,2.057314780568921,-3.309624383101207,-3.0189987896965023,-1.770203555300381
11,-7.15961677497214,-2.509831770143828,8.231578589810603,0.0007773523970373,-2.274090732365167,-2.4627331443707283,-2.321034709110789,-2.4901458156260103
12,-6.138651370636557,-7.014293385899237,9.07644829459998,0.0021578317721352,3.6420520371002048,-6.397751693779874,-4.5246472220171725,3.836813876561587
13,-3.0969080959965907,-7.267772010121549,2.2282648477177345,0.0451887057571568,2.669822769490418,-2.5345984438343105,-0.9711200735053808,3.2680755621476
14,-6.008228929808038,-7.221413881126159,-1.9861903960639855,0.0024584383939683,2.722447142021881,-1.461900989912039,-4.296067723037593,-3.0736393085145104
15,-4.745959634429483,1.579049705595199,5.480777985653152,0.0086867219272814,-0.1929123823631575,-9.517681221609385,-2.660375345723319,-1.8321614008382832
16,-6.653826709002426,-7.084743668090484,4.552662667345553,0.0012890797219884,1.8265721886773985,-5.356343083632068,-2.744915771967698,-3.9051962616624087
17,-5.65518985697258,-1.9171531008703344,4.8791126584110565,0.0034993086555882,-1.1163538973732354,-1.445905045705799,-2.7740776954617443,2.980686231116813
18,-2.7694813282252984,-0.5230499178998627,3.046909362066969,0.0626945141854956,-2.3675460769528045,-9.43326885822622,2.042756078477609,-4.604941239247752
19,-3.959130820036455,-3.5263713156290644,5.240632627896415,0.0190796907715251,1.3534454429249902,-4.966414999474771,-0.1119838377605129,-2.0356267663155827
20,-9.765070848692115,-2.8038935745390097,3.947602332790196,5.742270078905465e-05,1.3120961041804815,-2.621102155580308,-5.025257437410696,1.049077957979725
21,-6.163859262077161,0.7297185873903933,4.028036476333842,0.0021041172424165,-1.1824196159381937,-1.302267066000213,-4.472372812377315,2.3160827639108383
22,-1.960671121845028,-0.8336963418318093,5.9427205214525305,0.140763919472249,1.38555564709063,-6.345530754910126,-3.600445009019767,7.249812049053234
23,-3.348947325582752,-2.2158345410274243,7.086527491801308,0.0351213059485727,1.0425246894563789,-8.12646087292281,-2.479131982646381,0.2724537000268729
24,-9.026940190291086,-2.6294432864599897,7.816463389499755,0.0001201295048179,3.557765731282071,-3.16913300691314,-2.55092228024166,-3.0760731404066486
25,4.546672134227487,1.1292729829631352,4.4846634411086725,94.31800779384616,-1.9800267241954812,-1.580671576647024,-3.3863628633616023,-6.310426531812724
26,1.227725372356522,-6.406514018969979,5.9590215233438695,3.413456356907586,3.171715303282556,-2.365716855225904,-3.200733598831816,-4.056084934643563
27,1.4062580911404474,-5.264193169153926,0.1932755217586068,4.080657352064641,3.525456294529924,-1.3776038468966745,1.1300897896371551,-0.1615431422560975
28,-1.1043543133670823,3.1690188356750904,6.807448003663888,0.3314248097389517,0.6319585226006116,-2.7381470339410465,-5.476119497003074,-9.035339116649515
29,-1.7904633256494125,-3.4047769041076723,3.0328087512013395,0.166882830655961,2.01121293895043,-4.329518937735156,-2.340896239564856,-3.057195050584025
30,-7.360171539166373,-4.594937053568699,7.404693911590172,0.0006360893359448,1.3991900347447657,-7.537326281571503,0.4600833182280777,-6.042367395632342
31,-3.99440424648332,-4.455580057889258,6.368305818710175,0.0184184159789044,2.042605771071893,-6.245841756657256,0.6751480002166845,-11.76596900691571
32,4.868174349249477,-5.7727525470887375,2.7706900728152237,130.08321346446462,2.7423191125390005,-4.013395199100009,-3.9419242360316793,-2.5972943469928795
33,-1.5403530896309665,-0.1494367561227148,-1.796106803221079,0.2143054190451074,4.914369002942763,-4.0630077174812405,-2.455757960693853,7.342304824480606
34,-4.684145065698855,-3.8234370212431577,4.829274095757119,0.009240631368868,1.1387260493688551,-0.8358257548335462,-5.478500769238778,4.732643544124403
35,-4.753793557985643,-0.8039973571695285,-2.5723029971689604,0.0086189366706755,1.3783758524886869,-1.9847511790887884,-4.903985578404322,-0.6193715431668203
36,-3.379506041808693,-1.4671460448894953,3.442733256872437,0.0340642769081418,2.09739460892275,-4.698753774333408,0.3938310279476766,-0.6509766653252747
37,-4.628325901925846,0.3749224147033083,2.760077132475005,0.0097711032027663,0.0970188080430591,0.4391377397712448,-3.393283873484126,-3.068819826310262
38,-0.6384297093051239,-0.6542912757856323,7.315777833742785,0.5281210768726406,3.421397433163737,-4.935789845615206,-4.624734971673671,-11.81184582919274
39,-1.5171113922007913,-7.126015640064205,1.5056314857516715,0.2193445731658795,-0.1803185855507316,-6.703786956007125,-6.803324513875831,3.890527997789744
40,-1.674468496086413,-5.807141221794042,2.0759297612195606,0.1874077609740307,1.6640570482006332,-4.140438684276619,3.634301965815143,-0.2896272932963704
41,3.653865123337337,-1.9611554426031683,-4.508449824582831,38.62366313924864,0.9358626053995416,0.1600404206414518,-2.855671355178917,-0.5740570178430913
42,-4.530930984400149,3.162130913838279,5.430910558749023,0.010770644102025,3.099216416179246,-3.4144890664227088,-4.6830932049307386,-6.428582634717351
43,-6.452965964686876,-4.0227970076486965,-2.688981388954242,0.0015758413408134,-0.2247457424631034,-3.686027401613996,-1.624356958837765,-5.918416016989227
44,-5.8568956571109165,-2.4151696394893105,1.6564443570656635,0.0028601086735974,7.027686378342924,-3.0424205640712385,-3.578176256729116,-0.2082890891526829
45,-0.1633199215010381,0.3138027119152933,0.1597599731175525,0.8493194293994178,3.10144294884894,-3.495428988482532,-1.2089777969663882,1.9983303746660412
46,-10.218106029865067,-4.243761315704114,4.435400384407018,3.650336791951516e-05,-0.9673789872330688,-7.878811670204495,-3.607707967997692,4.60188303188522
47,-7.10888132474119,1.3145634058192606,6.008892845156924,0.0008178093436576,-1.0531324785035872,-1.9016886478476975,0.9967257756740744,-2.2026192664930173
48,-8.361972271418093,0.128781722548374,9.128231944243597,0.0002335831897191,0.7312094043590212,-5.019127005137017,-3.7150419425793446,-0.6859113042985738
49,-10.022392337303758,1.1377082920768062,4.419002760077278,4.4394616880626674e-05,1.81813915399176,-3.1018574890917043,-2.500760197960044,-9.885582449825838
50,-7.695417726069733,-3.14371798835502,0.5850760297073516,0.0004549069224108,-0.419881801740315,-4.672330415824196,-0.7115660877565517,-5.061279921246976
51,-6.96562778862847,-2.2920345125611465,-0.7279496198594533,0.0009437702613716,1.1789332539771842,-5.800403882760674,-0.817355245378431,4.522421630042344
52,-3.157401680949755,-2.8877090597390245,-2.560175947935,0.0425361200295449,-0.5839391917158305,-5.324355326192666,-0.3628688863747706,-1.6292728931124436
53,-0.3824104235024803,-3.1816435103406224,7.254403918734487,0.682214998669641,0.3389158635092475,-2.633383743107708,-5.517566046473966,-3.0714187686250414
54,-0.8836903996153582,2.14157291828748,4.490596233672583,0.4132550179870437,0.0127520221973964,-2.666141981946297,-1.595299987241536,-4.750150558468281
55,-2.583469035907255,1.5036715500249542,2.510058123099516,0.0755115966954296,1.5500183510471088,-5.088334332068323,-1.659383091876623,2.765926957683837
56,1.8578271024351896,-2.8306500325127453,1.9584823138472045,6.409793803248274,0.3852792733767077,-5.333486739282529,-0.2362207352896352,-6.781257827978402
57,-4.307021006262472,-3.4352126182271645,1.2365941974400905,0.0134736277209644,2.1767886621309915,1.7381216347546191,-4.377452758506941,-8.985912427245372
58,-2.341054058475324,-2.4334342936769566,-7.033493720261177,0.096226156760106,2.2403229035247207,-8.206493418913817,1.5419373557232787,4.293606803223321
59,-4.664698110550394,-0.817036873304726,-3.200627912403127,0.0094220922244373,4.306768807445992,-6.620050646123866,-0.091664334453362,-4.330569700288341
60,-7.0344484280590525,-0.1915316571662175,6.452437816967514,0.0008810039680056,-0.3132174711055047,-1.7655197075799056,0.7870453963409063,-6.241637668607514
61,-1.3633980165388817,-8.012797236935914,2.0566105098682144,0.2557901194805868,-1.1809091917172778,-5.278629319719634,-2.2287664984092985,-7.582706613920689
62,-2.598416326919204,-1.5224113916643969,4.355192324799753,0.0743912964697791,4.216869988375242,-2.340587505356117,-4.323018493617582,-5.438431661533159
63,-3.695174065025903,-1.321894844965592,-0.8614442810312282,0.0248431289662246,2.1264925274661493,-3.5986144947600853,-3.4820958422072605,-7.064527089535534
64,-3.018356916798313,-5.938911887972619,3.342579891682676,0.0488814687350909,3.427965669994301,-1.4736632632938953,-1.2189307427237133,-2.26089978275877
65,-3.827888741549717,3.773277142039909,3.1678603993454235,0.0217554986577213,1.7586425946159117,-6.177195829383452,-2.05686862276235,-0.9318772776648888
66,-3.938765229016633,1.824080201183628,6.3778889718859055,0.0194722436686869,2.168861172350578,-0.5402763700576441,-4.1032366412406365,-0.0249835782794143
67,-1.5515868766015424,-0.6987507724580417,-2.5257295817847263,0.2119114295810702,0.1581053125705325,-5.610579158536959,-0.9745671804756196,-6.036162170177299
68,-7.638885978068004,1.9649677069740488,1.630042780795962,0.0004813644039751,1.3662181764550938,-7.012627635031228,-2.8726706302116902,0.6145231219563265
69,-8.555198170597496,-4.763452456224477,-2.1163654365973823,0.0001925416294761,2.435001828690272,-6.412500338305349,-6.481225667817956,-3.734442514440834
70,1.5929676189020991,-1.4763812994210177,6.44763308690067,4.918323000788067,-0.3511727094209451,-3.88549497335585,-6.361713757663383,-5.315064767240576
71,-11.267955631989276,-2.4634072690898545,5.46284567570168,1.2775827717597391e-05,0.0095106591038269,-4.651269685204488,-1.4010475233342228,2.239478917465868
72,1.484760433677689,5.2777604625724415,4.554482003262812,4.413907862433289,-2.575242231202772,-8.126809263720459,-4.185988419058816,-4.774722775170602
73,-4.260380470459878,-4.375232430431418,1.5816305143882758,0.0141169303132983,2.3013196087185097,-0.8631169125296889,-1.487664795529742,-1.4599604004237583
